序号,单位名称,合计项数,合计金额,数理科学部项数,数理科学部金额,化学科学部项数,化学科学部金额,生命科学部项数,生命科学部金额,地球科学部项数,地球科学部金额,工程与材料科学部项数,工程与材料科学部金额,信息科学部项数,信息科学部金额,管理科学部项数,管理科学部金额,医学科学部项数,医学科学部金额,科学学科项数,科学学科金额,工程管理学科项数,工程管理学科金额
97,南京中医药大学,50,2818,0,0,1,65,0,0,0,0,0,0,0,0,0,0,49,2753,50,2818,0,0
98,南方科技大学,47,2818,13,769,7,451,8,475,6,380,2,120,8,448,0,0,3,175,37,2250,10,568
99,中国科学院化学研究所,43,2809,0,0,37,2435,0,0,0,0,5,308,1,66,0,0,0,0,37,2435,6,374
100,广东工业大学,48,2803,5,292,4,262,1,25,2,123,14,839,14,869,7,337,1,56,13,758,35,2045
101,中国科学院大连化学物理研究所,44,2795.5,0,0,39,2540.5,1,62,0,0,2,120,1,16,0,0,1,57,41,2659.5,3,136
102,南京师范大学,47,2781,7,398,5,327,12,715,14,829,2,114,2,125,2,99,3,174,41,2443,6,338
103,中国科学院生态环境研究中心,45,2774.5,0,0,17,1109,3,178,16,970.5,7,420,0,0,2,97,0,0,36,2257.5,9,517
104,南京信息工程大学,44,2711.5,0,0,1,65,1,60,32,1994.5,1,60,8,489,1,43,0,0,34,2119.5,10,592
105,福建农林大学,46,2662,0,0,0,0,40,2312,3,183,2,120,0,0,1,47,0,0,43,2495,3,167
106,中国科学院大气物理研究所,42,2596,0,0,0,0,0,0,42,2596,0,0,0,0,0,0,0,0,42,2596,0,0
107,华中师范大学,46,2578.5,14,782,8,525,8,443,1,57.5,1,60,10,520,4,191,0,0,31,1807.5,15,771
108,中国科学院海洋研究所,41,2531,0,0,0,0,11,658,29,1816,0,0,0,0,0,0,1,57,41,2531,0,0
109,中国科学院物理研究所,39,2475,29,1858,1,66,0,0,0,0,7,424,2,127,0,0,0,0,30,1924,9,551
110,安徽医科大学,44,2464,0,0,0,0,1,60,0,0,0,0,0,0,1,48,42,2356,43,2416,1,48
111,中国科学院过程工程研究所,38,2439,1,66,29,1897,2,118,0,0,6,358,0,0,0,0,0,0,32,2081,6,358
112,中国科学院长春应用化学研究所,38,2406,0,0,24,1563,0,0,0,0,12,727,0,0,0,0,2,116,26,1679,12,727
113,广州中医药大学,42,2393,0,0,0,0,0,0,0,0,0,0,1,60,0,0,41,2333,41,2333,1,60
114,太原理工大学,39,2381,5,316,13,851,2,88,2,127,11,662,6,337,0,0,0,0,22,1382,17,999
115,长安大学,39,2362,0,0,0,0,1,59,21,1320,13,778,1,63,3,142,0,0,22,1379,17,983
116,四川农业大学,38,2269,0,0,0,0,36,2144,2,125,0,0,0,0,0,0,0,0,38,2269,0,0
117,北京中医药大学,41,2264,0,0,0,0,1,59,0,0,0,0,0,0,0,0,40,2205,41,2264,0,0
118,安徽大学,39,2260,7,393,5,325,6,358,2,82,6,360,11,645,2,97,0,0,20,1158,19,1102
119,南通大学,41,2257,0,0,1,63,7,383,1,62,1,55,3,161,0,0,28,1533,37,2041,4,216
120,山西大学,38,2253.5,10,588,5,325,6,355,3,177.5,2,121,10,582,1,48,1,57,25,1502.5,13,751
121,中国科学院大学,39,2245,9,508,2,129,4,235,7,439,4,237,4,253,8,387,1,57,23,1368,16,877
122,中国科学院地理科学与资源研究所,37,2191.5,0,0,0,0,4,239,32,1903.5,0,0,0,0,1,49,0,0,36,2142.5,1,49
123,中国科学院植物研究所,37,2185,0,0,0,0,33,1940,4,245,0,0,0,0,0,0,0,0,37,2185,0,0
124,南京邮电大学,38,2171.5,0,0,1,65,0,0,0,0,1,60,33,1907,3,139.5,0,0,1,65,37,2106.5
125,杭州电子科技大学,37,2130,4,237,1,66,0,0,0,0,5,306,25,1424,2,97,0,0,5,303,32,1827
126,中国科学院地质与地球物理研究所,33,2099,0,0,0,0,0,0,33,2099,0,0,0,0,0,0,0,0,33,2099,0,0
127,中国科学院高能物理研究所,32,2087,30,1957,2,130,0,0,0,0,0,0,0,0,0,0,0,0,32,2087,0,0
128,西安建筑科技大学,35,2061,1,63,0,0,0,0,1,62,28,1683,1,60,4,193,0,0,2,125,33,1936
129,首都师范大学,35,2040.5,9,470,3,195,8,476,3,180.5,0,0,10,613,1,49,1,57,24,1378.5,11,662
130,东北林业大学,35,2022,0,0,1,66,28,1597,3,186,2,120,0,0,0,0,1,53,33,1902,2,120
131,中国人民解放军军事科学院军事医学研究院,36,2013,0,0,1,67,12,712,0,0,0,0,2,130,1,48,20,1056,33,1835,3,178
